PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age + Fare,Age + Parch,Age + SibSp,Fare + Parch,Fare + SibSp,Parch + SibSp,Age * Fare,Age * Parch,Age * SibSp,Fare * Parch,Fare * SibSp,Parch * SibSp
833,0,3,male,,0,0,7.2292,C,,,,7.2292,7.2292,0,,,,0.0,0.0,0
266,0,2,male,36.0,0,0,10.5,S,46.5,36.0,36.0,10.5,10.5,0,378.0,0.0,0.0,0.0,0.0,0
214,0,2,male,30.0,0,0,13.0,S,43.0,30.0,30.0,13.0,13.0,0,390.0,0.0,0.0,0.0,0.0,0
680,1,1,male,36.0,0,1,512.3292,C,548.3292,37.0,36.0,513.3292,512.3292,1,18443.8512,36.0,0.0,512.3292,0.0,0
7,0,1,male,54.0,0,0,51.8625,S,105.8625,54.0,54.0,51.8625,51.8625,0,2800.575,0.0,0.0,0.0,0.0,0
87,0,3,male,16.0,1,3,34.375,S,50.375,19.0,17.0,37.375,35.375,4,550.0,48.0,16.0,103.125,34.375,3
228,0,3,male,20.5,0,0,7.25,S,27.75,20.5,20.5,7.25,7.25,0,148.625,0.0,0.0,0.0,0.0,0
104,0,3,male,33.0,0,0,8.6542,S,41.6542,33.0,33.0,8.6542,8.6542,0,285.5886,0.0,0.0,0.0,0.0,0
178,0,1,female,50.0,0,0,28.7125,C,78.7125,50.0,50.0,28.7125,28.7125,0,1435.625,0.0,0.0,0.0,0.0,0
768,0,3,female,30.5,0,0,7.75,Q,38.25,30.5,30.5,7.75,7.75,0,236.375,0.0,0.0,0.0,0.0,0
383,0,3,male,32.0,0,0,7.925,S,39.925,32.0,32.0,7.925,7.925,0,253.6,0.0,0.0,0.0,0.0,0
477,0,2,male,34.0,1,0,21.0,S,55.0,34.0,35.0,21.0,22.0,1,714.0,0.0,34.0,0.0,21.0,0
103,0,1,male,21.0,0,1,77.2875,S,98.2875,22.0,21.0,78.2875,77.2875,1,1623.0375,21.0,0.0,77.2875,0.0,0
345,0,2,male,36.0,0,0,13.0,S,49.0,36.0,36.0,13.0,13.0,0,468.0,0.0,0.0,0.0,0.0,0
379,0,3,male,20.0,0,0,4.0125,C,24.0125,20.0,20.0,4.0125,4.0125,0,80.25,0.0,0.0,0.0,0.0,0
74,0,3,male,26.0,1,0,14.4542,C,40.4542,26.0,27.0,14.4542,15.4542,1,375.80920000000003,0.0,26.0,0.0,14.4542,0
385,0,3,male,,0,0,7.8958,S,,,,7.8958,7.8958,0,,,,0.0,0.0,0
222,0,2,male,27.0,0,0,13.0,S,40.0,27.0,27.0,13.0,13.0,0,351.0,0.0,0.0,0.0,0.0,0
475,0,3,female,22.0,0,0,9.8375,S,31.8375,22.0,22.0,9.8375,9.8375,0,216.425,0.0,0.0,0.0,0.0,0
80,1,3,female,30.0,0,0,12.475,S,42.475,30.0,30.0,12.475,12.475,0,374.25,0.0,0.0,0.0,0.0,0
814,0,3,female,6.0,4,2,31.275,S,37.275,8.0,10.0,33.275,35.275,6,187.64999999999998,12.0,24.0,62.55,125.1,8
857,1,1,female,45.0,1,1,164.8667,S,209.8667,46.0,46.0,165.8667,165.8667,2,7419.0015,45.0,45.0,164.8667,164.8667,1
65,0,1,male,,0,0,27.7208,C,,,,27.7208,27.7208,0,,,,0.0,0.0,0
809,0,2,male,39.0,0,0,13.0,S,52.0,39.0,39.0,13.0,13.0,0,507.0,0.0,0.0,0.0,0.0,0
225,1,1,male,38.0,1,0,90.0,S,128.0,38.0,39.0,90.0,91.0,1,3420.0,0.0,38.0,0.0,90.0,0
10,1,2,female,14.0,1,0,30.0708,C,44.0708,14.0,15.0,30.0708,31.0708,1,420.9912,0.0,14.0,0.0,30.0708,0
635,0,3,female,9.0,3,2,27.9,S,36.9,11.0,12.0,29.9,30.9,5,251.1,18.0,27.0,55.8,83.69999999999999,6
655,0,3,female,18.0,0,0,6.75,Q,24.75,18.0,18.0,6.75,6.75,0,121.5,0.0,0.0,0.0,0.0,0
211,0,3,male,24.0,0,0,7.05,S,31.05,24.0,24.0,7.05,7.05,0,169.2,0.0,0.0,0.0,0.0,0
717,1,1,female,38.0,0,0,227.525,C,265.525,38.0,38.0,227.525,227.525,0,8645.95,0.0,0.0,0.0,0.0,0
616,1,2,female,24.0,1,2,65.0,S,89.0,26.0,25.0,67.0,66.0,3,1560.0,48.0,24.0,130.0,65.0,2
450,1,1,male,52.0,0,0,30.5,S,82.5,52.0,52.0,30.5,30.5,0,1586.0,0.0,0.0,0.0,0.0,0
375,0,3,female,3.0,3,1,21.075,S,24.075,4.0,6.0,22.075,24.075,4,63.224999999999994,3.0,9.0,21.075,63.224999999999994,3
805,1,3,male,27.0,0,0,6.975,S,33.975,27.0,27.0,6.975,6.975,0,188.325,0.0,0.0,0.0,0.0,0
843,1,1,female,30.0,0,0,31.0,C,61.0,30.0,30.0,31.0,31.0,0,930.0,0.0,0.0,0.0,0.0,0
377,1,3,female,22.0,0,0,7.25,S,29.25,22.0,22.0,7.25,7.25,0,159.5,0.0,0.0,0.0,0.0,0
327,0,3,male,61.0,0,0,6.2375,S,67.2375,61.0,61.0,6.2375,6.2375,0,380.4875,0.0,0.0,0.0,0.0,0
432,1,3,female,,1,0,16.1,S,,,,16.1,17.1,1,,,,0.0,16.1,0
575,0,3,male,16.0,0,0,8.05,S,24.05,16.0,16.0,8.05,8.05,0,128.8,0.0,0.0,0.0,0.0,0
849,0,2,male,28.0,0,1,33.0,S,61.0,29.0,28.0,34.0,33.0,1,924.0,28.0,0.0,33.0,0.0,0
708,1,1,male,42.0,0,0,26.2875,S,68.2875,42.0,42.0,26.2875,26.2875,0,1104.075,0.0,0.0,0.0,0.0,0
367,1,1,female,60.0,1,0,75.25,C,135.25,60.0,61.0,75.25,76.25,1,4515.0,0.0,60.0,0.0,75.25,0
529,0,3,male,39.0,0,0,7.925,S,46.925,39.0,39.0,7.925,7.925,0,309.075,0.0,0.0,0.0,0.0,0
57,1,2,female,21.0,0,0,10.5,S,31.5,21.0,21.0,10.5,10.5,0,220.5,0.0,0.0,0.0,0.0,0
642,1,1,female,24.0,0,0,69.3,C,93.3,24.0,24.0,69.3,69.3,0,1663.1999999999998,0.0,0.0,0.0,0.0,0
352,0,1,male,,0,0,35.0,S,,,,35.0,35.0,0,,,,0.0,0.0,0
854,1,1,female,16.0,0,1,39.4,S,55.4,17.0,16.0,40.4,39.4,1,630.4,16.0,0.0,39.4,0.0,0
44,1,2,female,3.0,1,2,41.5792,C,44.5792,5.0,4.0,43.5792,42.5792,3,124.7376,6.0,3.0,83.1584,41.5792,2
863,1,1,female,48.0,0,0,25.9292,S,73.92920000000001,48.0,48.0,25.9292,25.9292,0,1244.6016,0.0,0.0,0.0,0.0,0
693,1,3,male,,0,0,56.4958,S,,,,56.4958,56.4958,0,,,,0.0,0.0,0
62,1,1,female,38.0,0,0,80.0,,118.0,38.0,38.0,80.0,80.0,0,3040.0,0.0,0.0,0.0,0.0,0
302,1,3,male,,2,0,23.25,Q,,,,23.25,25.25,2,,,,0.0,46.5,0
17,0,3,male,2.0,4,1,29.125,Q,31.125,3.0,6.0,30.125,33.125,5,58.25,2.0,8.0,29.125,116.5,4
701,1,1,female,18.0,1,0,227.525,C,245.525,18.0,19.0,227.525,228.525,1,4095.4500000000003,0.0,18.0,0.0,227.525,0
64,0,3,male,4.0,3,2,27.9,S,31.9,6.0,7.0,29.9,30.9,5,111.6,8.0,12.0,55.8,83.69999999999999,6
846,0,3,male,42.0,0,0,7.55,S,49.55,42.0,42.0,7.55,7.55,0,317.09999999999997,0.0,0.0,0.0,0.0,0
43,0,3,male,,0,0,7.8958,C,,,,7.8958,7.8958,0,,,,0.0,0.0,0
480,1,3,female,2.0,0,1,12.2875,S,14.2875,3.0,2.0,13.2875,12.2875,1,24.575,2.0,0.0,12.2875,0.0,0
600,1,1,male,49.0,1,0,56.9292,C,105.92920000000001,49.0,50.0,56.9292,57.9292,1,2789.5308,0.0,49.0,0.0,56.9292,0
261,0,3,male,,0,0,7.75,Q,,,,7.75,7.75,0,,,,0.0,0.0,0
310,1,1,female,30.0,0,0,56.9292,C,86.92920000000001,30.0,30.0,56.9292,56.9292,0,1707.876,0.0,0.0,0.0,0.0,0
30,0,3,male,,0,0,7.8958,S,,,,7.8958,7.8958,0,,,,0.0,0.0,0
698,1,3,female,,0,0,7.7333,Q,,,,7.7333,7.7333,0,,,,0.0,0.0,0
780,1,1,female,43.0,0,1,211.3375,S,254.3375,44.0,43.0,212.3375,211.3375,1,9087.5125,43.0,0.0,211.3375,0.0,0
224,0,3,male,,0,0,7.8958,S,,,,7.8958,7.8958,0,,,,0.0,0.0,0
262,1,3,male,3.0,4,2,31.3875,S,34.3875,5.0,7.0,33.3875,35.3875,6,94.1625,6.0,12.0,62.775,125.55,8
411,0,3,male,,0,0,7.8958,S,,,,7.8958,7.8958,0,,,,0.0,0.0,0
14,0,3,male,39.0,1,5,31.275,S,70.275,44.0,40.0,36.275,32.275,6,1219.725,195.0,39.0,156.375,31.275,5
716,0,3,male,19.0,0,0,7.65,S,26.65,19.0,19.0,7.65,7.65,0,145.35,0.0,0.0,0.0,0.0,0
858,1,1,male,51.0,0,0,26.55,S,77.55,51.0,51.0,26.55,26.55,0,1354.05,0.0,0.0,0.0,0.0,0
711,1,1,female,24.0,0,0,49.5042,C,73.5042,24.0,24.0,49.5042,49.5042,0,1188.1008,0.0,0.0,0.0,0.0,0
235,0,2,male,24.0,0,0,10.5,S,34.5,24.0,24.0,10.5,10.5,0,252.0,0.0,0.0,0.0,0.0,0
525,0,3,male,,0,0,7.2292,C,,,,7.2292,7.2292,0,,,,0.0,0.0,0
460,0,3,male,,0,0,7.75,Q,,,,7.75,7.75,0,,,,0.0,0.0,0
599,0,3,male,,0,0,7.225,C,,,,7.225,7.225,0,,,,0.0,0.0,0
687,0,3,male,14.0,4,1,39.6875,S,53.6875,15.0,18.0,40.6875,43.6875,5,555.625,14.0,56.0,39.6875,158.75,4
201,0,3,male,28.0,0,0,9.5,S,37.5,28.0,28.0,9.5,9.5,0,266.0,0.0,0.0,0.0,0.0,0
476,0,1,male,,0,0,52.0,S,,,,52.0,52.0,0,,,,0.0,0.0,0
496,0,3,male,,0,0,14.4583,C,,,,14.4583,14.4583,0,,,,0.0,0.0,0
686,0,2,male,25.0,1,2,41.5792,C,66.5792,27.0,26.0,43.5792,42.5792,3,1039.48,50.0,25.0,83.1584,41.5792,2
69,1,3,female,17.0,4,2,7.925,S,24.925,19.0,21.0,9.925,11.925,6,134.725,34.0,68.0,15.85,31.7,8
782,1,1,female,17.0,1,0,57.0,S,74.0,17.0,18.0,57.0,58.0,1,969.0,0.0,17.0,0.0,57.0,0
448,1,1,male,34.0,0,0,26.55,S,60.55,34.0,34.0,26.55,26.55,0,902.7,0.0,0.0,0.0,0.0,0
250,0,2,male,54.0,1,0,26.0,S,80.0,54.0,55.0,26.0,27.0,1,1404.0,0.0,54.0,0.0,26.0,0
191,1,2,female,32.0,0,0,13.0,S,45.0,32.0,32.0,13.0,13.0,0,416.0,0.0,0.0,0.0,0.0,0
192,0,2,male,19.0,0,0,13.0,S,32.0,19.0,19.0,13.0,13.0,0,247.0,0.0,0.0,0.0,0.0,0
269,1,1,female,58.0,0,1,153.4625,S,211.4625,59.0,58.0,154.4625,153.4625,1,8900.825,58.0,0.0,153.4625,0.0,0
174,0,3,male,21.0,0,0,7.925,S,28.925,21.0,21.0,7.925,7.925,0,166.42499999999998,0.0,0.0,0.0,0.0,0
742,0,1,male,36.0,1,0,78.85,S,114.85,36.0,37.0,78.85,79.85,1,2838.6,0.0,36.0,0.0,78.85,0
318,0,2,male,54.0,0,0,14.0,S,68.0,54.0,54.0,14.0,14.0,0,756.0,0.0,0.0,0.0,0.0,0
563,0,2,male,28.0,0,0,13.5,S,41.5,28.0,28.0,13.5,13.5,0,378.0,0.0,0.0,0.0,0.0,0
92,0,3,male,20.0,0,0,7.8542,S,27.8542,20.0,20.0,7.8542,7.8542,0,157.084,0.0,0.0,0.0,0.0,0
461,1,1,male,48.0,0,0,26.55,S,74.55,48.0,48.0,26.55,26.55,0,1274.4,0.0,0.0,0.0,0.0,0
727,1,2,female,30.0,3,0,21.0,S,51.0,30.0,33.0,21.0,24.0,3,630.0,0.0,90.0,0.0,63.0,0
763,1,3,male,20.0,0,0,7.2292,C,27.2292,20.0,20.0,7.2292,7.2292,0,144.584,0.0,0.0,0.0,0.0,0
67,1,2,female,29.0,0,0,10.5,S,39.5,29.0,29.0,10.5,10.5,0,304.5,0.0,0.0,0.0,0.0,0
99,1,2,female,34.0,0,1,23.0,S,57.0,35.0,34.0,24.0,23.0,1,782.0,34.0,0.0,23.0,0.0,0
581,1,2,female,25.0,1,1,30.0,S,55.0,26.0,26.0,31.0,31.0,2,750.0,25.0,25.0,30.0,30.0,1
54,1,2,female,29.0,1,0,26.0,S,55.0,29.0,30.0,26.0,27.0,1,754.0,0.0,29.0,0.0,26.0,0
737,0,3,female,48.0,1,3,34.375,S,82.375,51.0,49.0,37.375,35.375,4,1650.0,144.0,48.0,103.125,34.375,3
361,0,3,male,40.0,1,4,27.9,S,67.9,44.0,41.0,31.9,28.9,5,1116.0,160.0,40.0,111.6,27.9,4
393,0,3,male,28.0,2,0,7.925,S,35.925,28.0,30.0,7.925,9.925,2,221.9,0.0,56.0,0.0,15.85,0
566,0,3,male,24.0,2,0,24.15,S,48.15,24.0,26.0,24.15,26.15,2,579.5999999999999,0.0,48.0,0.0,48.3,0
304,1,2,female,,0,0,12.35,Q,,,,12.35,12.35,0,,,,0.0,0.0,0
72,0,3,female,16.0,5,2,46.9,S,62.9,18.0,21.0,48.9,51.9,7,750.4,32.0,80.0,93.8,234.5,10
282,0,3,male,28.0,0,0,7.8542,S,35.8542,28.0,28.0,7.8542,7.8542,0,219.9176,0.0,0.0,0.0,0.0,0
184,1,2,male,1.0,2,1,39.0,S,40.0,2.0,3.0,40.0,41.0,3,39.0,1.0,2.0,39.0,78.0,2
831,1,3,female,15.0,1,0,14.4542,C,29.4542,15.0,16.0,14.4542,15.4542,1,216.813,0.0,15.0,0.0,14.4542,0
203,0,3,male,34.0,0,0,6.4958,S,40.4958,34.0,34.0,6.4958,6.4958,0,220.8572,0.0,0.0,0.0,0.0,0
469,0,3,male,,0,0,7.725,Q,,,,7.725,7.725,0,,,,0.0,0.0,0
20,1,3,female,,0,0,7.225,C,,,,7.225,7.225,0,,,,0.0,0.0,0
151,0,2,male,51.0,0,0,12.525,S,63.525,51.0,51.0,12.525,12.525,0,638.775,0.0,0.0,0.0,0.0,0
712,0,1,male,,0,0,26.55,S,,,,26.55,26.55,0,,,,0.0,0.0,0
699,0,1,male,49.0,1,1,110.8833,C,159.88330000000002,50.0,50.0,111.8833,111.8833,2,5433.2817000000005,49.0,49.0,110.8833,110.8833,1
558,0,1,male,,0,0,227.525,C,,,,227.525,227.525,0,,,,0.0,0.0,0
429,0,3,male,,0,0,7.75,Q,,,,7.75,7.75,0,,,,0.0,0.0,0
